Timestamp;Entrevistador;Longitude;Latitude;;;;;;;;;;;;;;;;;
11/13/2020 08:54;etuee;-38.80343114;-8.01973162;;;;;;;;;;;;;;;;;
11/13/2020 09:19;ahman;-38.80369823;-8.01659544;;;;;;;;;;;;;;;;;
11/13/2020 08:56;etuee;-38.80268628;-8.01982466;;;;;;;;;;;;;;;;;
11/13/2020 09:15;usapi;-38.726714;-8.1248861;;;;;;;;;;;;;;;;;
11/13/2020 09:22;ahman;-38.80379266;-8.01665581;;;;;;;;;;;;;;;;;
11/13/2020 09:02;etuee;-38.80409837;-8.01830405;;;;;;;;;;;;;;;;;
11/13/2020 09:25;ahman;-38.80391392;-8.01703714;;;;;;;;;;;;;;;;;
11/13/2020 09:28;ahman;-38.80451537;-8.01769542;;;;;;;;;;;;;;;;;
11/13/2020 09:19;usapi;-38.7267093;-8.1248835;;;;;;;;;;;;;;;;;
11/13/2020 09:24;usapi;-38.7267066;-8.1248815;;;;;;;;;;;;;;;;;
11/13/2020 09:30;ahman;-38.80461352;-8.01804013;;;;;;;;;;;;;;;;;
11/13/2020 09:26;usapi;-38.80037861;-8.01746169;;;;;;;;;;;;;;;;;
11/13/2020 09:33;ahman;-38.80511341;-8.01734052;;;;;;;;;;;;;;;;;
11/13/2020 09:29;usapi;-38.7267066;-8.1248815;;;;;;;;;;;;;;;;;
11/13/2020 09:34;ahman;-38.8053013;-8.01792633;;;;;;;;;;;;;;;;;
11/13/2020 09:31;usapi;-38.80013783;-8.01824881;;;;;;;;;;;;;;;;;
11/13/2020 09:34;usapi;-38.8001866;-8.01821611;;;;;;;;;;;;;;;;;
11/13/2020 09:36;ahman;-38.80553558;-8.01792771;;;;;;;;;;;;;;;;;
11/13/2020 09:37;usapi;-38.80059861;-8.01803096;;;;;;;;;;;;;;;;;
11/13/2020 09:40;usapi;-38.80072479;-8.01801062;;;;;;;;;;;;;;;;;
11/13/2020 09:38;ahman;-38.80591052;-8.01743756;;;;;;;;;;;;;;;;;
11/13/2020 09:42;usapi;-38.80087623;-8.01806145;;;;;;;;;;;;;;;;;
11/13/2020 09:42;ahman;-38.80473612;-8.01803518;;;;;;;;;;;;;;;;;
11/13/2020 09:48;usapi;-38.80198692;-8.01808432;;;;;;;;;;;;;;;;;
